,ix,skypos,band,theCount,t0,t1,globalcount,stimcount,exptime,deadtime
0,1204,123.490119539_80.6623409899,NUV,118210,979081402.995,979083107.995,31917745.0,118210.0,1680.97000003,0.106971914537
1,1214,20.7557306069_82.8568796374,NUV,7159,780752982.995,780753089.995,2590295.0,7159.0,101.998999953,0.138333511348
2,1224,53.800847618_81.6942855744,NUV,7597,749877032.995,749877146.995,2667004.0,7597.0,108.998999953,0.133684411028
3,1234,179.024106931_63.4912265554,NUV,7464,762944764.995,762944871.995,1798226.0,7464.0,106.0,0.0960334312417
4,1244,106.900950883_56.1918582289,NUV,17044,758648838.995,758649099.995,6751476.0,17044.0,260.0,0.147815566502
5,1254,169.41163662_65.7348474642,NUV,7645,851862692.995,851862801.995,1703957.0,7645.0,109.0,0.0893293315858
6,1264,215.737112037_66.9322291951,NUV,8386,855849401.995,855849521.995,1947500.0,8386.0,119.0,0.0927380952381
7,1182,251.052795221_71.6798793883,NUV,15781,798930699.995,798930930.995,4665335.0,15781.0,196.998999953,0.115407173779
8,1274,356.884743143_61.9977516295,NUV,5490,1001269539.0,1001269647.0,6249013.0,5490.0,103.995000005,0.330635608466
9,1284,21.9732052031_55.515191958,NUV,6319,1005255795.0,1005255902.0,4676882.0,6319.0,97.9950000048,0.249766728972
10,1294,10.256705817_66.495434548,NUV,6194,1004497674.0,1004497774.0,3498112.0,6194.0,99.0,0.199892114286
11,1304,137.688284618_65.0349201551,NUV,8029,789303970.995,789304086.995,2085570.0,8029.0,115.0,0.102737438424
12,1314,198.996334758_86.6635655537,NUV,7703,754434402.995,754434515.995,2316994.0,7703.0,112.0,0.11716783818
13,1253,44.9104680249_71.1764841106,NUV,6629,842584937.995,842585039.995,2874493.0,6629.0,101.0,0.161036022409
14,1324,358.218836042_57.7977954771,NUV,5993,1005048023.0,1005048126.0,4655348.0,5993.0,97.9950000048,0.258271733703
15,1334,314.964918436_86.3181882861,NUV,8854,886199583.995,886199713.995,2843664.0,8854.0,129.0,0.12499621978
