,ix,skypos,band,theCount,t0,t1,globalcount,stimcount,exptime,deadtime
0,2010,150.910025185_75.9819518125,FUV,9969,754607026.995,754607158.995,341233.0,9969.0,132.0,0.014771991342
1,2011,73.6028099033_57.9794579778,FUV,8290,819812019.995,819812131.995,647081.0,8290.0,111.0,0.0330143367347
2,2002,0.0411749342442_73.3375116815,FUV,7319,842467407.995,842467508.995,984461.0,7319.0,100.0,0.0556979349364
3,2005,52.8321206942_68.5536086772,FUV,7622,846738210.995,846738314.995,755692.0,7622.0,103.0,0.0415215384615
4,2020,316.131301235_65.9435725451,FUV,9336,838319750.995,838319881.995,1381130.0,9336.0,129.13499999,0.0602455834242
5,2021,316.131301235_65.9435725451,FUV,10660,842407914.995,842408061.995,1433183.0,10660.0,147.0,0.0557116812439
6,2006,67.053676096_60.5719994594,FUV,8643,819700206.995,819700323.995,743203.0,8643.0,117.0,0.0362980708181
7,2031,100.959837143_85.912242366,FUV,8790,816184242.995,816184359.995,348733.0,8790.0,112.190999985,0.0170321367521
8,2030,100.959837143_85.912242366,FUV,18241,816136917.995,816137160.995,743523.0,18241.0,200.193999887,0.0174843738977
9,2004,108.839726147_69.1069285269,FUV,8338,850927011.995,850927122.995,297652.0,8338.0,111.0,0.0153231402831
10,2041,244.380791858_56.0375121242,FUV,74742,837727105.995,837728099.995,2596878.0,74742.0,986.059999943,0.0149288761138
11,2051,249.984056782_81.3035148367,FUV,8028,846685807.995,846685914.995,316536.0,8028.0,107.0,0.016904459279
12,2014,241.368303664_82.0574004692,FUV,8345,851123379.995,851123490.995,353958.0,8345.0,111.0,0.0182217760618
13,2024,151.598745002_60.4644993718,FUV,8249,856115601.995,856115710.995,154474.0,8249.0,98.3049999475,0.00809824377457
14,2040,244.380791858_56.0375121242,FUV,83813,837472741.995,837473856.995,2982461.0,83813.0,1110.995,0.0152848737988
15,2061,224.52199454_53.9453848484,FUV,8174,860252132.995,860252240.995,183989.0,8174.0,107.0,0.00973486772487
16,2016,112.832704137_68.8405261211,FUV,127932,758281047.995,758282748.995,4734667.0,127932.0,1701.0,0.0159054908877
17,2026,113.585627162_67.3150280914,FUV,8126,851009691.995,851009799.995,247623.0,8126.0,97.189999938,0.0131017460317
18,2050,249.984056782_81.3035148367,FUV,8187,793995588.995,793995697.995,331314.0,8187.0,108.0,0.017369017038
19,2036,103.599121891_72.8173544194,FUV,11255,854886451.995,854886601.995,510072.0,11255.0,150.0,0.0194313142857
20,2060,59.5275109621_80.2596410826,FUV,7594,842318386.995,842318489.995,629100.0,7594.0,103.0,0.0349015256588
21,2034,161.241669423_68.819200642,FUV,128806,820597996.995,820599699.995,2808152.0,128806.0,1703.0,0.00942253837765
22,2046,251.913009608_88.911471595,FUV,9231,886200268.995,886200391.995,349925.0,9231.0,52.9800000191,0.0162566782811
23,2044,176.966337341_68.0321765928,FUV,8331,851862122.995,851862232.995,170663.0,8331.0,110.0,0.00886561038961
24,2056,211.159814581_69.3301320161,FUV,7779,855742761.995,855742864.995,230959.0,7779.0,88.5500000715,0.012813259362
25,2054,192.92270613_72.3904743861,FUV,7995,855614000.995,855614106.995,225002.0,7995.0,106.0,0.0121294878706
26,2070,97.1740410354_71.3917305532,FUV,127314,912679384.995,912681083.995,5938640.0,127314.0,1699.0,0.0199735642815
