ix,skypos,band,t0,t1,stim1_x0,stim1_x1,stim1_y0,stim1_y1,stim2_x0,stim2_x1,stim2_y0,stim2_y1,stim3_x0,stim3_x1,stim3_y0,stim3_y1,stim4_x0,stim4_x1,stim4_y0,stim4_y1
1,0.0411749342442_73.3375116815,NUV,842467407995,842467508995,-40902.9566054,-38284.6717091,34381.2426431,36999.5275393,34598.6815899,37216.9664861,34379.6427578,36997.9276541,-40897.1388409,-38278.8539446,-38627.3380359,-36009.0531396,34613.3714451,37231.6563414,-38656.7177464,-36038.4328502
2,0.0411749342442_73.3375116815,NUV,1000410494995,1000410594995,-40906.7381523,-38288.453256,34469.3817747,39705.9515672,34619.770986,37238.0558823,34471.4179922,39707.9877848,-40898.7387261,-38280.4538298,-39540.2907242,-34303.7209316,34631.406515,37249.6914112,-39541.0179447,-34304.4481522
3,0.0411749342442_73.3375116815,NUV,1005094709995,1005094819995,-40906.7381523,-38288.453256,34469.3817747,39705.9515672,34619.770986,37238.0558823,34471.4179922,39707.9877848,-40898.7387261,-38280.4538298,-39540.2907242,-34303.7209316,34631.406515,37249.6914112,-39541.0179447,-34304.4481522
4,108.839726147_69.1069285269,NUV,789089658995,789091195995,-40902.9566054,-38284.6717091,34381.2426431,36999.5275393,34598.6815899,37216.9664861,34379.6427578,36997.9276541,-40897.1388409,-38278.8539446,-38627.3380359,-36009.0531396,34613.3714451,37231.6563414,-38656.7177464,-36038.4328502
5,108.839726147_69.1069285269,NUV,793219825995,793221518995,-40902.9566054,-38284.6717091,34381.2426431,36999.5275393,34598.6815899,37216.9664861,34379.6427578,36997.9276541,-40897.1388409,-38278.8539446,-38627.3380359,-36009.0531396,34613.3714451,37231.6563414,-38656.7177464,-36038.4328502
6,108.839726147_69.1069285269,NUV,850927011995,850927122995,-40902.9566054,-38284.6717091,34381.2426431,36999.5275393,34598.6815899,37216.9664861,34379.6427578,36997.9276541,-40897.1388409,-38278.8539446,-38627.3380359,-36009.0531396,34613.3714451,37231.6563414,-38656.7177464,-36038.4328502
7,52.8321206942_68.5536086772,NUV,846738210995,846738314995,-40902.9566054,-38284.6717091,34381.2426431,36999.5275393,34598.6815899,37216.9664861,34379.6427578,36997.9276541,-40897.1388409,-38278.8539446,-38627.3380359,-36009.0531396,34613.3714451,37231.6563414,-38656.7177464,-36038.4328502
8,33.2418941168_65.2223883771,NUV,1005396447995,1005396554995,-40906.7381523,-38288.453256,34469.3817747,39705.9515672,34619.770986,37238.0558823,34471.4179922,39707.9877848,-40898.7387261,-38280.4538298,-39540.2907242,-34303.7209316,34631.406515,37249.6914112,-39541.0179447,-34304.4481522
9,67.053676096_60.5719994594,NUV,819700206995,819700323995,-40902.9566054,-38284.6717091,34381.2426431,36999.5275393,34598.6815899,37216.9664861,34379.6427578,36997.9276541,-40897.1388409,-38278.8539446,-38627.3380359,-36009.0531396,34613.3714451,37231.6563414,-38656.7177464,-36038.4328502
10,67.053676096_60.5719994594,NUV,850957735995,850957843995,-40902.9566054,-38284.6717091,34381.2426431,36999.5275393,34598.6815899,37216.9664861,34379.6427578,36997.9276541,-40897.1388409,-38278.8539446,-38627.3380359,-36009.0531396,34613.3714451,37231.6563414,-38656.7177464,-36038.4328502
