ix,skypos,band,theCount
2010,150.910025185_75.9819518125,FUV,9969
2011,73.6028099033_57.9794579778,FUV,8290
2002,0.0411749342442_73.3375116815,FUV,7319
2005,52.8321206942_68.5536086772,FUV,7622
2020,316.131301235_65.9435725451,FUV,9336
2021,316.131301235_65.9435725451,FUV,10660
2006,67.053676096_60.5719994594,FUV,8643
2031,100.959837143_85.912242366,FUV,8790
2030,100.959837143_85.912242366,FUV,18241
2004,108.839726147_69.1069285269,FUV,8338
2041,244.380791858_56.0375121242,FUV,74742
2051,249.984056782_81.3035148367,FUV,8028
2014,241.368303664_82.0574004692,FUV,8345
2024,151.598745002_60.4644993718,FUV,8249
2040,244.380791858_56.0375121242,FUV,83813
2061,224.52199454_53.9453848484,FUV,8174
2016,112.832704137_68.8405261211,FUV,127932
2026,113.585627162_67.3150280914,FUV,8126
2050,249.984056782_81.3035148367,FUV,8187
2036,103.599121891_72.8173544194,FUV,11255
2060,59.5275109621_80.2596410826,FUV,7594
2034,161.241669423_68.819200642,FUV,128806
2046,251.913009608_88.911471595,FUV,9231
2044,176.966337341_68.0321765928,FUV,8331
2056,211.159814581_69.3301320161,FUV,7779
2054,192.92270613_72.3904743861,FUV,7995
2070,97.1740410354_71.3917305532,FUV,127314
2071,97.1740410354_71.3917305532,FUV,127230
2064,97.1740410354_71.3917305532,FUV,19479
2066,97.1740410354_71.3917305532,FUV,127234
2081,97.1740410354_71.3917305532,FUV,119238
2080,97.1740410354_71.3917305532,FUV,127439
2074,97.1740410354_71.3917305532,FUV,126892
2084,154.112828354_65.9822603482,FUV,8246
2090,41.3085502632_64.5905655519,FUV,7978
2091,41.3085502632_64.5905655519,FUV,7953
2100,206.524615202_77.4748090885,FUV,7611
2101,206.524615202_77.4748090885,FUV,7532
2076,97.1740410354_71.3917305532,FUV,127242
2111,250.854538136_72.9870860797,FUV,8237
2110,49.3688698664_86.8148726551,FUV,7944
2094,146.929248994_60.9415226168,FUV,128001
2086,347.342416973_73.386182497,FUV,7905
2120,9.43595527598_78.8822629323,FUV,8677
2104,128.617113601_80.7047814962,FUV,11224
2096,146.929248994_60.9415226168,FUV,7915
2106,224.409641685_73.1037735316,FUV,7889
2116,256.148913106_74.8765220482,FUV,8175
2114,23.7600621799_75.5123598388,FUV,8974
2121,9.43595527598_78.8822629323,FUV,7944
2126,303.131121249_76.2863097447,FUV,27843
2131,44.7023934432_63.9213752931,FUV,9879
2141,201.498113539_61.4942390635,FUV,7864
2130,303.131121249_76.2863097447,FUV,72776
2136,200.246484237_76.8025228082,FUV,8133
2140,38.6978864782_77.1617589896,FUV,7865
2124,303.131121249_76.2863097447,FUV,7996
2146,73.185564478_74.8219336845,FUV,7990
2156,175.084239937_60.6608440154,FUV,7798
2151,304.858368536_60.3270031372,FUV,12723
2134,290.557870423_84.2691852763,FUV,10985
2166,240.923841643_81.7707526073,FUV,8170
2150,304.858368536_60.3270031372,FUV,13011
2176,270.991999346_80.6898379756,FUV,9837
2144,4.52015285728_79.0712174675,FUV,9442
2154,223.184058617_75.9267341573,FUV,7888
2164,268.320395126_79.1949333129,FUV,8070
2186,277.984090636_63.4805735214,FUV,7784
2196,230.963835221_53.1725503412,FUV,8311
2174,23.8805403942_71.6028138428,FUV,7488
2184,188.881311285_53.3125894524,FUV,7945
2160,208.708278928_54.5698800997,FUV,103020
2206,330.744036828_87.2679676162,FUV,72603
2161,208.708278928_54.5698800997,FUV,103485
2170,95.3710407586_81.7528109804,FUV,7972
2171,95.3710407586_81.7528109804,FUV,7953
2180,93.7134354883_68.3350220399,FUV,7840
2181,289.711642948_84.4013270279,FUV,10985
2190,84.3703510037_74.1001457608,FUV,7760
2191,222.040208521_86.9184406424,FUV,8558
2200,217.551773851_85.4327891317,FUV,9090
2201,217.551773851_85.4327891317,FUV,8404
2216,297.761569621_74.0581996861,FUV,66174
2226,209.525104781_69.0980950448,FUV,7779
