,objid,flat_counts,mcat_bg,bg_counts,flux_bgsub_err,cps_mcatbgsub,counts,mag_mcatbgsub,cps_err,mag_bgsub,cps_bgsub,detys,flux_bgsub,flux_err,mag_err_1,cps_bgsub_err,t1_data,bg,responses,t_mean,cps_mcatbgsub_err,mag_bgsub_err_1,mag_err_2,t0_data,racent,deccent,mag,exptime,bg_flat_counts,detxs,t0,t1,mag_mcatbgsub_err_2,flux,mag_mcatbgsub_err_1,flags,mag_bgsub_err_2,detrad,cps,flux_mcatbgsub_err,flux_mcatbgsub,mcat_expt,ra,dec,aper4,aper4_err,mcat_bg.1,aper7,aper7_err,legs
0,6441310750608723541,4642.27167768,38.4633533417,3247.0,3.79059305757e-16,18.2129290975,4606.0,15.6690505078,0.269542864549,15.6698621157,18.1993196832,696.990783691,2.54790475565e-14,3.77360010369e-16,0.0158194475342,0.270756646969,747403611.975,41.9034993121,0.992788173522,747403485.853,0.270657204332,0.0160338412293,0.0160533530953,747403356.04,323.067840576,0.254072159529,15.6600172102,252.776931141,3402.2354014,203.096099854,747403355.995,747403611.995,0.0162559082675,2.57111292531e-14,0.0160161067822,104.0,0.0162741780619,356.335055096,18.3650923236,3.78920086065e-16,2.54981007364e-14,256.0,323.067871094,0.25410053134,15.746,0.0171263,0.000161833,15.6569,0.0163015,4
1,6441944069306322234,3602.65320769,29.8933678749,2274.0,4.35867329335e-16,18.4688772753,3210.0,15.6538987614,0.310275797721,15.6522947496,18.4961824253,730.343444824,2.58946553954e-14,4.3438611681e-16,0.0179399062376,0.311333806668,775793435.855,24.6112523445,0.892100992232,775793335.303,0.311560410338,0.0181233629107,0.0182413193506,775793236.05,323.068237305,0.253806561232,15.6448521743,193.447592215,1998.24060935,485.554840088,775793234.995,775793435.995,0.0184720572227,2.60727695445e-14,0.0181630350324,104.0,0.0184310251624,341.242468343,18.6234068175,4.36184574474e-16,2.58564281854e-14,199.05,323.068237305,0.253790974617,15.7256,0.0197357,0.00016435,15.6489,0.0188791,4
2,6442999600670311365,2049.79241843,15.3353832792,818.0,6.01956666215e-16,19.2911313383,1255.0,15.6066057555,0.429303190857,15.6018282005,19.3762049612,339.43560791,2.71266869457e-14,6.01024467199e-16,0.0237201111438,0.429969047296,839006043.785,6.36345583635,0.612970292769,839005989.638,0.430906099816,0.0238296761773,0.0242499214415,839005933.03,323.068359375,0.253851562738,15.5984523558,105.460742529,516.662691113,729.852905273,839005931.995,839006043.995,0.0245270570346,2.72111623434e-14,0.0239852026718,105.0,0.02436444763,335.36694039,19.436544531,6.03268539743e-16,2.70075838736e-14,109.05,323.06829834,0.253872007132,15.6608,0.0274938,0.000154654,15.5857,0.0263824,7
3,6441310750977820383,3626.99531706,37.4401726313,2511.0,3.44586856183e-16,14.6148309457,3095.0,15.9080155097,0.245203499449,15.9050323459,14.6550418049,163.464675903,2.05170585269e-14,3.43284899228e-16,0.0178800980245,0.246133468702,747427003.975,27.5639655809,0.854511296174,747426877.327,0.246465824099,0.0180836536209,0.0181794879635,747426755.165,323.067901611,0.254104286432,15.8967495965,245.610445838,2237.97775941,159.558059692,747426754.995,747427004.995,0.0184661014216,2.06741754267e-14,0.0181572768093,40.0,0.0183899577141,337.285170448,14.7672681619,3.45052153739e-16,2.0460763324e-14,251.0,323.067871094,0.254116803408,15.8845,0.0177555,0.000162125,15.7868,0.0167533,3
4,6441944069507649022,4150.38296632,33.0896806256,2086.0,4.18229187266e-16,19.0480914151,3100.0,15.6203713334,0.298046309489,15.6167164328,19.11232082,679.114196777,2.6757249148e-14,4.17264833285e-16,0.0167236553825,0.298735133761,775799355.945,19.206331798,0.74788445865,775799248.439,0.299232064886,0.0168393364888,0.0169852859439,775799137.18,323.068145752,0.254047036171,15.6116804134,216.152537069,1559.40346383,610.771789551,775799135.995,775799355.995,0.0171915388788,2.68816467835e-14,0.0169235657549,104.0,0.0171046278621,349.756318189,19.2011762739,4.18924890841e-16,2.66673279811e-14,221.0,323.068115234,0.254048913717,15.6883,0.0185941,0.000162813,15.6122,0.0178382,4
5,6443069976762910731,1857.5508859,15.3034935767,900.0,5.72476057444e-16,17.4419951716,1274.0,15.7160095952,0.408054875578,15.7116004554,17.5129705699,339.559265137,2.45181587978e-14,5.71276825809e-16,0.024903690012,0.408911469603,870280256.94,7.80697491348,0.686333407773,870280202.226,0.409732314459,0.0250594916239,0.0254883461672,870280150.045,323.06842041,0.254007667303,15.7070276721,105.621368094,633.865115431,643.516418457,870280148.995,870280256.995,0.0258095275661,2.462163942e-14,0.0252102165142,8.0,0.0256515733807,250.90501886,17.5868853,5.73625240242e-16,2.44187932403e-14,109.0,323.068389893,0.254003614187,15.7745,0.028317,0.000154098,15.7077,0.0272983,8
6,6443069977366888468,2025.0442972,16.1140755003,1298.0,5.82665117387e-16,18.5105068858,1990.0,15.6514542213,0.41463954871,15.6509422356,18.5192376894,236.020233154,2.59269327652e-14,5.80495368194e-16,0.0238630366105,0.416189369562,870291516.965,15.1665285007,0.983501211873,870291462.459,0.41628600497,0.0241299965649,0.0243993233335,870291407.03,323.068359375,0.254188805819,15.6427800325,108.529184754,1231.4031293,106.582069397,870291405.995,870291516.995,0.0246960598473,2.61225772819e-14,0.0241467958079,96.0,0.0246784878965,336.13010269,18.6589837728,5.82800406958e-16,2.59147096401e-14,112.0,323.068389893,0.254218667746,15.7604,0.0254814,0.000157913,15.6444,0.0237653,4
7,6443069982869816348,2243.7689641,19.4368583574,1120.0,5.03034965101e-16,16.8376044982,1457.0,15.7542992398,0.358566524655,15.7493736976,16.9141633672,257.876831055,2.36798287141e-14,5.01993134517e-16,0.0226824966081,0.359310689358,873924519.77,9.32304730649,0.650560920169,873924453.428,0.360116233783,0.0228229277329,0.0231664939531,873924386.095,323.068572998,0.253840148449,15.7448529746,132.105021589,756.958299802,661.098815918,873924384.995,873924519.995,0.0234732326884,2.37786309101e-14,0.0229764705826,40.0,0.023313001622,297.273589181,16.9847363644,5.04162727296e-16,2.35726462975e-14,136.0,323.068572998,0.253830939531,15.821,0.0258925,0.000156482,15.7533,0.0249965,6
8,6443140340507477616,4694.3802676,38.0589335498,3075.0,3.88512538167e-16,18.7870675609,4376.0,15.6353525071,0.276442738812,15.6349381369,18.7942389956,644.84777832,2.63119345938e-14,3.87019834337e-16,0.0157320377511,0.277508955834,900789389.835,36.2815138312,0.933199461377,900789264.259,0.277561084224,0.0159143832904,0.0159633466356,900789139.0,323.068481445,0.254153132439,15.6265141991,247.847159699,2945.77428614,162.226547241,900789138.995,900789389.995,0.0161603948643,2.65168758948e-14,0.0159233825681,105.0,0.0161511257656,341.301405484,18.9406256392,3.88585517914e-16,2.63018945853e-14,252.0,323.068511963,0.254159986973,15.6892,0.0165845,0.000163317,15.6016,0.0158012,3
9,6443140358828197584,4208.60283838,34.0832864522,2954.0,3.94681245067e-16,18.0634066028,4271.0,15.6780008553,0.280712744519,15.6785338928,18.0545406276,293.794250488,2.52763568786e-14,3.92997842327e-16,0.0166084621602,0.281915175048,901629333.955,36.1322458527,1.01550837554,901629215.87,0.281847125751,0.0168223827625,0.0168664730149,901629100.43,323.068450928,0.253896743059,15.6691722446,231.10366963,2933.65489733,106.580444336,901629098.995,901629333.995,0.0170745278249,2.54952419542e-14,0.0168101621312,32.0,0.0170871360073,312.049189833,18.2108871102,3.94585976052e-16,2.52887692439e-14,236.0,323.068481445,0.253927409649,15.7467,0.0180473,0.000156853,15.6483,0.0170527,3
10,6443140362821174091,1375.59051693,11.4579722873,640.0,6.9409952377e-16,18.2018457394,842.0,15.6697114265,0.494884037469,15.6645956761,18.287811202,429.134643555,2.56029356828e-14,6.92837652456e-16,0.0288861521436,0.495785374121,902587774.9,5.01531328866,0.612631555501,902587732.46,0.496940830031,0.0290425564534,0.029675726531,902587680.045,323.06842041,0.254215598106,15.6606299189,74.9447371531,407.204092734,744.400390625,902587678.995,902587774.995,0.0300545770958,2.56966238972e-14,0.0292449878491,40.0,0.0298408229935,345.630520235,18.3547313551,6.95717162043e-16,2.54825840351e-14,75.05,323.06842041,0.254203259945,15.7443,0.0343795,0.000162602,15.6475,0.0325404,7
