ix,skypos,band,theCount
1204,123.490119539_80.6623409899,NUV,118210
1214,20.7557306069_82.8568796374,NUV,7159
1224,53.800847618_81.6942855744,NUV,7597
1234,179.024106931_63.4912265554,NUV,7464
1244,106.900950883_56.1918582289,NUV,17044
1254,169.41163662_65.7348474642,NUV,7645
1264,215.737112037_66.9322291951,NUV,8386
1182,251.052795221_71.6798793883,NUV,15781
1274,356.884743143_61.9977516295,NUV,5490
1284,21.9732052031_55.515191958,NUV,6319
1294,10.256705817_66.495434548,NUV,6194
1304,137.688284618_65.0349201551,NUV,8029
1314,198.996334758_86.6635655537,NUV,7703
1253,44.9104680249_71.1764841106,NUV,6629
1324,358.218836042_57.7977954771,NUV,5993
1334,314.964918436_86.3181882861,NUV,8854
1344,261.681751204_71.8660212713,NUV,7468
1354,150.529008141_82.7025735614,NUV,7954
1364,179.975653596_71.3120848035,NUV,7660
1374,6.01761206772_83.2125672442,NUV,7688
1384,115.5694731_67.6712570718,NUV,9401
1394,300.415145046_76.1331574617,NUV,20240
1404,194.273679634_79.6495441438,NUV,8181
1197,100.436720565_81.4194681496,NUV,9126
1414,160.788616497_63.0401697434,NUV,120747
1207,52.0551795017_87.9615142947,NUV,7627
1217,227.392785672_83.3702530234,NUV,6795
1424,315.732380137_88.0011543479,NUV,42550
1227,185.103015669_62.448664189,NUV,9418
1434,241.714501589_74.0682233977,NUV,7293
1237,58.143877375_65.6380771728,NUV,7780
1247,241.775417126_87.0565227423,NUV,19097
1444,189.288709183_60.1820685577,NUV,111631
1257,232.230830494_64.9150238592,NUV,88439
1267,270.403574534_80.0505291273,NUV,7178
1277,152.190958192_58.4755986262,NUV,7734
1287,136.28901357_77.2700488695,NUV,17368
1297,126.236340876_54.4915195978,NUV,17180
1454,292.502629503_76.8795747038,NUV,115228
1464,117.348194631_84.5683930463,NUV,7207
1474,270.614779531_58.6488255977,NUV,14138
1171,353.696740191_77.0659962111,NUV,94061
1181,251.052795221_71.6798793883,NUV,15059
1172,353.696740191_77.0659962111,NUV,13184
1191,195.883698091_61.2920858404,NUV,116091
1201,150.020626453_56.9007049561,NUV,8049
1211,91.2225724151_69.4084838821,NUV,7250
1221,220.891930021_55.5995339196,NUV,8066
1231,166.622082735_63.2303012395,NUV,9564
1241,304.029699563_69.5887146981,NUV,8084
1251,228.050644544_84.6111233577,NUV,117463
1261,203.638360516_59.8266577891,NUV,7685
1232,154.415640251_79.663950971,NUV,113908
1271,208.569794507_58.8511613452,NUV,113908
1281,17.2773230576_70.5152803923,NUV,6294
1242,153.590096977_53.3889509299,NUV,117544
1291,175.644338105_55.4638544675,NUV,7617
1252,44.9104680249_71.1764841106,NUV,7132
1301,82.5138098251_61.3365358743,NUV,9246
1311,131.176105333_53.4810724371,NUV,13614
1321,135.490758007_79.7859079053,NUV,7167
1331,227.145312122_88.4305222397,NUV,11459
1262,203.638360516_59.8266577891,NUV,68692
