tilename,tilenum,img,subvis,avaspra,avaspdec,fexptime,nexptime,minPhotoObsDate,maxPhotoObsdate,minmjd,maxmjd
AIS_398,50398,1,51,20.7261154266768,-71.4859321436694,208,208,2006-08-28 08:01:04.000,2006-10-09 10:45:05.000,53975.3340740741,54017.447974537
AIS_393,50393,1,54,22.8999683563042,-68.9608904709535,307,307,2005-09-02 10:48:31.000,2006-10-09 12:21:32.000,53615.4503587963,54017.5149537037
AIS_398,50398,1,61,23.3580063323234,-72.2692956273005,142,142,2006-08-28 08:03:33.000,2006-10-09 10:46:45.000,53975.3357986111,54017.4491319444
AIS_393,50393,1,53,23.434853544249,-68.032279866887,208,310,2005-09-02 10:46:12.000,2006-10-09 12:23:44.000,53615.44875,54017.5164814815
AIS_398,50398,1,60,23.9991880874284,-71.1021152451889,205.05,205.05,2006-08-28 07:58:38.000,2006-10-09 10:42:55.000,53975.3323842593,54017.4464699074
AIS_393,50393,1,66,24.6351672243665,-70.2720380365646,220,298,2005-09-02 11:12:39.000,2007-08-17 10:10:15.000,53615.4671180556,54329.4237847222
AIS_393,50393,1,65,25.0177177467388,-69.3889906311988,208,316,2005-09-02 10:50:57.000,2006-10-09 12:17:10.000,53615.4520486111,54017.5119212963
AIS_393,50393,1,77,27.3473958198315,-70.7548322650265,208,314.05,2005-09-02 11:10:13.000,2006-10-09 10:40:43.000,53615.4654282407,54017.4449421296
AIS_393,50393,1,76,27.6694287600871,-69.9098749294188,212,318,2005-09-02 10:53:23.000,2007-08-17 10:07:51.000,53615.4537384259,54329.4221180556
AIS_398,50398,1,80,30.0853059047552,-71.2092536070347,205.05,317.05,2005-09-02 11:07:48.000,2006-10-09 10:38:29.000,53615.46375,54017.4433912037
AIS_393,50393,1,88,30.3257113140332,-70.3016269359861,216,282.05,2005-09-02 10:56:23.000,2007-08-17 10:05:30.000,53615.4558217593,54329.4204861111
AIS_269,50269,1,69,31.303689532362,-3.65534048142963,344,344,2003-11-21 15:45:50.000,2007-11-01 13:35:03.000,52964.6568287037,54405.5660069444
AIS_269,50269,1,79,31.8125452795986,-4.47202811068171,112,112,2003-11-21 15:43:23.000,2003-11-21 15:45:15.000,52964.6551273148,52964.6564236111
AIS_269,50269,1,68,31.8438469588526,-2.83010324655628,337,337,2003-11-21 15:48:15.000,2007-11-01 13:42:50.000,52964.6585069444,54405.571412037
AIS_269,50269,1,67,32.305525475794,-1.86957364037118,314,320,2003-11-21 15:50:42.000,2007-11-01 13:22:11.000,52964.6602083333,54405.5570717593
AIS_269,50269,1,78,32.3532621961902,-3.66038181880769,325,325,2003-11-21 15:41:01.000,2007-11-01 13:37:34.000,52964.6534837963,54405.5677546296
AIS_398,50398,1,89,32.9807169015529,-71.6155646721004,203.05,315.05,2005-09-02 11:05:22.000,2006-10-09 10:36:21.000,53615.4620601852,54017.4419097222
AIS_393,50393,1,99,33.0862930862062,-70.6892607589327,216,307,2005-09-02 10:58:13.000,2007-08-17 10:03:08.000,53615.4570949074,54329.4188425926
AIS_284,50284,1,6,33.4082926253966,-3.67663698987962,95.05,95.05,2003-11-21 15:38:29.000,2003-11-21 15:40:04.000,52964.651724537,52964.6528240741
AIS_284,50284,1,5,33.9351648181941,-2.8627234847161,112,112,2003-11-21 15:33:32.000,2003-11-21 15:35:24.000,52964.648287037,52964.6495833333
AIS_185,50185,1,84,33.943419041625,-1.18902039640405,110,110,2003-11-21 15:23:49.000,2003-11-21 15:25:39.000,52964.6415393519,52964.6428125
AIS_284,50284,1,4,34.4463332349647,-2.04563343995371,112,112,2003-11-21 15:26:07.000,2003-11-21 15:27:59.000,52964.6431365741,52964.6444328704
AIS_284,50284,1,12,34.446577686021,-3.70619090260571,112,112,2003-11-21 15:36:00.000,2003-11-21 15:37:52.000,52964.65,52964.6512962963
XMMLSS_06_css13720,52297,1,-999,34.4724079355731,-3.39190368985241,1063.15,1127.15,2005-11-23 05:10:27.000,2005-11-23 05:29:14.000,53697.2155902778,53697.2286342593
XMMLSS_06_css18948,52298,1,-999,34.5178704563648,-3.37129996281907,1112.3,1112.3,2006-11-16 05:30:50.000,2006-11-16 05:49:22.000,54055.2297453704,54055.2426157407
XMMLSS_21,6895,1,-999,34.8424923775821,-2.98133116419746,11324.65,11324.65,2006-11-18 03:31:05.000,2006-11-19 16:06:59.000,54057.1465856482,54058.6715162037
XMMLSS_21_css18992,52315,1,-999,34.8503029604851,-2.79670182839676,1099,1099,2006-11-19 05:49:07.000,2006-11-19 06:07:26.000,54058.2424421296,54058.255162037
XMMLSS_21_css18977,52313,1,-999,34.8566333772525,-2.82089722013491,989,989,2006-11-18 05:10:06.000,2006-11-18 05:26:35.000,54057.2153472222,54057.2267939815
XMMLSS_21_css18984,52314,1,-999,34.9665007547442,-3.17457613853046,1611.2,1611.2,2006-11-18 16:40:18.000,2006-11-18 17:07:09.000,54057.6946527778,54057.7132986111
AIS_284,50284,1,11,34.9681729819869,-2.89056184696212,109.05,109.05,2003-11-21 15:31:05.000,2003-11-21 15:32:54.000,52964.6465856481,52964.6478472222
XMMLSS_19_css13634,52305,1,-999,35.2416694141273,-2.69765300639849,1176,1260,2005-11-17 07:50:33.000,2005-11-17 08:11:33.000,53691.3267708333,53691.3413541667
XMMLSS_19_css18950,52308,1,-999,35.2906412229138,-2.88768183108784,1650.15,1650.15,2006-11-16 08:48:01.000,2006-11-16 09:15:31.000,54055.3666782407,54055.385775463
XMMLSS_19_css18933,52307,1,-999,35.3853022508649,-2.90927633716397,1060.05,1060.05,2006-11-15 04:51:58.000,2006-11-15 05:09:38.000,54054.2027546296,54054.2150231482
XMMLSS_19,6891,1,-999,35.4293008915045,-3.15115053876058,24319.7,24752.75,2004-11-14 21:39:38.000,2007-11-12 12:38:28.000,53323.9025231482,54416.526712963
XMMLSS_19_css19048,52309,1,-999,35.4391703201647,-2.96165708143673,224,224,2006-11-23 01:51:45.000,2006-11-23 01:55:29.000,54062.0776041667,54062.0801967593
AIS_284,50284,1,10,35.4862362483561,-2.06450001512508,112,112,2003-11-21 15:28:38.000,2003-11-21 15:30:30.000,52964.6448842593,52964.6461805556
AIS_398,50398,1,6,36.0458113835621,-72.8111352054454,254.25,318.25,2003-09-21 16:34:59.000,2006-10-09 10:31:51.000,52903.6909606481,54017.4387847222
AIS_393,50393,1,21,36.1501114556139,-71.0069287106979,213,321.05,2005-09-02 11:00:34.000,2007-08-17 10:00:43.000,53615.4587268519,54329.4171643519
AIS_403,50403,1,94,36.1798515687045,-71.950384038829,208,318,2005-09-02 11:03:00.000,2006-10-09 10:34:09.000,53615.4604166667,54017.4403819444
AIS_403,50403,1,25,39.0709922777786,-71.6175679529588,198,199,2006-08-28 07:36:31.000,2006-10-09 10:23:14.000,53975.317025463,54017.4328009259
AIS_403,50403,1,36,39.2116797710814,-72.5260970791259,208,208,2006-08-28 07:43:50.000,2006-10-09 10:29:47.000,53975.3221064815,54017.437349537
AIS_403,50403,1,24,41.9465994484841,-71.2216311490075,208,208,2006-08-28 07:38:56.000,2006-10-09 10:25:25.000,53975.3187037037,54017.4343171296
AIS_403,50403,1,35,42.3271890829088,-72.1431017267953,208,208,2006-08-28 07:41:22.000,2006-10-09 10:27:37.000,53975.3203935185,54017.4358449074
PS_CDFS_MOS00,8180,7,-999,53.1032558471802,-27.796382607231,1705,185705.4,2008-12-12 08:21:21.000,2010-12-08 09:21:25.000,54812.3481597222,55538.3898726852
CDFS_00,6051,1,-999,53.1273118243563,-27.8744513655764,87047.7,89294.35,2003-11-09 15:47:12.000,2006-12-03 15:26:09.000,52952.6577777778,54072.6431597222
NGA_NGC1399,5062,5,-999,54.6259035982125,-35.5097477411084,6556.05,6556.05,2003-12-06 10:28:00.000,2008-01-11 10:36:47.000,52979.4361111111,54476.4422106482
WDST_LB_227_ST_year2008,52005,1,-999,62.3510377747215,17.2137405823348,53025.4000000001,53036.5000000001,2008-11-22 13:31:39.000,2008-12-26 19:25:58.000,54792.5636458333,54826.8096990741
WDST_LB_227_ST_year2007_2,52059,1,-999,62.3563686953972,17.1798986592923,14807.95,60083.95,2007-12-11 03:11:55.000,2007-12-31 18:13:56.000,54445.133275463,54465.7596759259
WDST_LB_227_ST_year2007_1,52003,1,-999,62.3573849657515,17.1816141855893,2237.55,60105.7500000001,2007-11-10 09:15:17.000,2007-12-11 01:56:25.000,54414.3856134259,54445.0808449074
WDST_LB_227_ST_year2009,52017,1,-999,62.367689695942,17.2119404979238,0,17645.6,2009-11-29 03:25:29.000,2009-12-06 21:33:25.000,55164.1426967593,55171.8982060185
WDST_LB_227p,30067,7,-999,62.3683200242719,17.1340279648515,2586.35,13278.55,2007-11-07 07:18:58.000,2008-11-27 10:29:03.000,54411.304837963,54797.4368402778
AIS_198,50198,1,42,113.163154423346,19.4794244619519,208,208,2006-01-04 14:44:59.000,2007-02-15 04:16:19.000,53739.6145717593,54146.1779976852
AIS_198,50198,1,30,113.166143528439,21.2640160035478,208,208,2006-01-04 14:40:05.000,2007-02-15 04:11:39.000,53739.6111689815,54146.1747569444
MISMWS_15236_0199,51021,1,-999,113.167792687134,21.2672665228071,295,295,2008-12-28 17:15:56.000,2009-01-20 02:44:08.000,54828.7193981481,54851.1139814815
MISMWS_15235_0199,51020,1,-999,113.668293863744,22.1453095247572,296.05,296.05,2008-12-28 17:13:16.000,2009-01-20 02:40:28.000,54828.7175462963,54851.1114351852
AIS_198,50198,1,29,113.673699826487,22.1524682564319,203.05,333.05,2004-02-07 19:10:17.000,2007-02-15 04:09:24.000,53042.7988078704,54146.1731944444
MISMWS_15281_0199,51025,1,-999,113.674856134137,20.342724235995,347.05,347.05,2008-12-28 17:26:18.000,2009-01-20 02:58:53.000,54828.7265972222,54851.124224537
AIS_198,50198,1,41,113.682485432703,20.3520561914263,212.05,212.05,2006-01-04 14:42:33.000,2007-02-15 04:13:59.000,53739.6128819444,54146.1763773148
AIS_198,50198,1,28,114.185669303935,23.0402297254752,203.05,331.05,2004-02-07 19:12:48.000,2007-02-15 04:06:56.000,53042.8005555556,54146.1714814815
AIS_198,50198,1,52,114.190038402279,19.4541864839621,208,208,2006-01-04 14:47:28.000,2007-02-15 04:18:45.000,53739.6162962963,54146.1796875
AIS_198,50198,1,40,114.19492593539,21.231805749918,213.05,213.05,2006-01-04 14:54:49.000,2007-02-15 04:25:42.000,53739.621400463,54146.1845138889
MISMWS_15280_0199,51022,1,-999,114.203848376142,21.2480392864348,299,299,2008-12-28 17:18:29.000,2009-01-20 02:47:42.000,54828.7211689815,54851.1164583333
MISMWS_15279_0199,51019,1,-999,114.703175525996,22.1084287187296,299,299,2008-12-28 17:10:40.000,2009-01-20 02:36:57.000,54828.7157407407,54851.1089930556
MISGCSAN_15326_2078,40259,1,-999,114.703695016722,20.3288995202425,1531.05,1531.05,2008-01-19 13:51:54.000,2008-01-19 14:17:25.000,54484.5777083333,54484.5954282407
AIS_198,50198,1,39,114.712527650843,22.1091310997987,208,208,2006-01-04 14:57:18.000,2007-02-15 04:28:00.000,53739.623125,54146.1861111111
AIS_198,50198,1,51,114.714035125773,20.3196222658048,221,225,2006-01-04 14:52:21.000,2007-02-15 04:23:27.000,53739.6196875,54146.1829513889
MISMWS_15326_0199,51024,1,-999,114.720660330837,20.324718597728,299,299,2008-12-28 17:23:42.000,2009-01-20 02:54:52.000,54828.7247916667,54851.1214351852
AIS_198,50198,1,50,115.220708198847,21.1967761882235,202.05,202.05,2006-01-04 14:59:46.000,2007-02-15 04:30:20.000,53739.624837963,54146.1877314815
MISMWS_15325_0199,51023,1,-999,115.231489653551,21.18911479143,292.05,292.05,2008-12-28 17:21:06.000,2009-01-20 02:51:18.000,54828.7229861111,54851.1189583333
AIS_198,50198,1,62,115.234480595538,19.407637534543,218,218,2006-01-04 14:49:55.000,2007-02-15 04:21:06.000,53739.6179976852,54146.1813194444
MISMWS_15324_0199,51018,1,-999,115.740145570646,22.0691791027932,287,288,2008-12-28 17:08:07.000,2009-01-20 02:33:26.000,54828.7139699074,54851.1065509259
AIS_198,50198,1,60,116.283522518729,21.1189032281487,205.05,205.05,2006-01-04 15:02:14.000,2007-02-15 04:33:05.000,53739.6265509259,54146.1896412037
GI1_092001_NGC2632_MOS01,21660,1,-999,129.136044069932,17.8688866324707,1690,1690,2005-02-17 19:58:02.000,2007-01-11 04:24:39.000,53418.8319675926,54111.1837847222
GI1_092002_NGC2632_MOS02,21661,1,-999,130.082683887456,17.8626154984162,1693,1693,2005-02-18 09:00:48.000,2005-02-18 09:29:01.000,53419.3755555556,53419.395150463
AIS_201,50201,1,8,130.97771917571,0.664043056381258,169,169,2006-02-20 12:52:53.000,2008-01-09 14:12:58.000,53786.536724537,54474.592337963
AIS_201,50201,1,3,131.462423019715,1.44356120075025,176,176,2006-02-20 12:50:29.000,2008-01-09 14:10:56.000,53786.5350578704,54474.5909259259
MISDR1_24292_0467,3358,1,-999,131.4626318183,1.44509080536411,3352.05,3352.05,2007-02-19 08:20:11.000,2007-02-20 04:31:31.000,54150.347349537,54151.1885532407
MISDR1_03333_0447,3276,1,-999,131.738620755443,51.4586434870073,0,4360.05,2005-01-09 20:33:22.000,2009-03-19 07:43:57.000,53379.8565046296,54909.3221875
AIS_201,50201,1,2,132.523008260326,1.37027374859836,141.05,141.05,2006-02-20 12:48:10.000,2008-01-09 14:08:59.000,53786.5334490741,54474.5895717593
AIS_197,50197,1,85,133.022124965681,2.16767806156424,152,152,2006-02-20 12:45:40.000,2008-01-09 14:07:43.000,53786.531712963,54474.5886921296
AIS_197,50197,1,75,133.48483990085,2.93618480872431,160,272,2006-02-20 12:43:15.000,2012-02-05 06:37:32.000,53786.5300347222,55962.2760648148
AIS_197,50197,1,74,134.556769450715,2.89568764258423,165.05,165.05,2006-02-20 12:40:51.000,2008-01-09 14:04:25.000,53786.5283680556,54474.586400463
AIS_197,50197,1,83,135.139565919949,2.06663127205593,167,167,2006-02-20 12:38:30.000,2008-01-09 14:02:54.000,53786.5267361111,54474.5853472222
AIS_197,50197,1,73,135.629924008706,2.86590391529721,107,107,2006-02-20 12:26:29.000,2006-02-20 12:28:16.000,53786.5183912037,53786.5196296296
AIS_197,50197,1,63,136.130885747004,3.67331778674365,155,155,2006-02-20 12:28:49.000,2008-01-09 13:56:30.000,53786.5200115741,54474.5809027778
AIS_197,50197,1,82,136.200072269099,2.03530619530653,160,160,2006-02-20 12:36:11.000,2008-01-09 14:01:20.000,53786.5251273148,54474.5842592593
AIS_197,50197,1,72,136.686693520272,2.84244549668839,155.05,155.05,2006-02-20 12:33:38.000,2008-01-09 13:59:43.000,53786.5233564815,54474.5831365741
AIS_197,50197,1,62,137.183559452552,3.6559358638832,237.15,237.15,2004-01-13 13:02:12.000,2008-01-09 13:58:05.000,53017.5431944445,54474.5820023148
AIS_118,50118,1,34,153.150113109888,71.7174031704489,111,111,2003-12-08 16:42:35.000,2003-12-08 16:44:26.000,52981.6962384259,52981.6975231481
AIS_118,50118,1,33,156.42028401841,72.1106628627217,112,112,2003-12-08 16:45:01.000,2003-12-08 16:46:53.000,52981.6979282407,52981.699224537
AIS_118,50118,1,71,157.129622085562,68.8212498562442,110,110,2007-02-19 20:02:07.000,2007-02-19 20:03:57.000,54150.8348032407,54150.8360763889
AIS_118,50118,1,62,157.822887308261,69.843877368641,90.05,96.3,2003-12-08 17:02:08.000,2003-12-08 17:03:44.000,52981.7098148148,52981.7109259259
AIS_118,50118,1,52,158.367791904293,70.7466834671297,106.1,106.1,2003-12-08 16:57:18.000,2003-12-08 16:59:04.000,52981.7064583333,52981.7076851852
