db   minDec                 maxDec                 decRange               minZone maxZone noOfZones minPartition maxPartition NoOfPartitions
---- ---------------------- ---------------------- ---------------------- ------- ------- --------- ------------ ------------ --------------
1    -90                    -41.9335253679419      43.3081582516838       1       5767    5197      1            122          121
2    -41.9335253679419      -23.7169316466781      18.0499279489065       5768    7953    2166      123          233          110
3    -23.7169316466781      -6.54200048366548      16.99993191108         7954    10014   2040      234          342          108
4    -6.54200048366548      -0.133692738155902     6.2999742532373        10015   10783   756       343          423          80
5    -0.133692738155902     3.43295971150504       3.54165258114586       10784   11211   425       424          509          85
6    3.43295971150504       13.4329196170021       9.92496029387781       11212   12411   1191      510          609          99
7    13.4329196170021       26.4578677005453       12.9499481430502       12412   13974   1554      610          709          99
8    26.4578677005453       40.1994794577868       13.5999455697009       13975   15623   1632      710          813          103
9    40.1994794577868       52.4994300411013       12.183284478167        15624   17099   1462      814          890          76
10   52.4994300411013       90                     37.392236989148        17100   32767   15655     891          999          108

(10 row(s) affected)


