#partition,minZoneID,maxZoneID,minZone,maxZone,partitionHeightInZones,DB
1,52,570,1,570,569,1
2,571,817,571,817,246,1
3,818,1007,818,1007,189,1
4,1008,1185,1008,1185,177,1
5,1186,1328,1186,1328,142,1
6,1329,1413,1329,1413,84,1
7,1414,1496,1414,1496,82,1
8,1497,1578,1497,1578,81,1
9,1579,1651,1579,1651,72,1
10,1652,1717,1652,1717,65,1
11,1718,1767,1718,1767,49,1
12,1768,1813,1768,1813,45,1
13,1814,1862,1814,1862,48,1
14,1863,1909,1863,1909,46,1
15,1910,1955,1910,1955,45,1
16,1956,2007,1956,2007,51,1
17,2008,2061,2008,2061,53,1
18,2062,2101,2062,2101,39,1
19,2102,2130,2102,2130,28,1
20,2131,2160,2131,2160,29,1
21,2161,2191,2161,2191,30,1
22,2192,2236,2192,2236,44,1
23,2237,2282,2237,2282,45,1
24,2283,2324,2283,2324,41,1
25,2325,2367,2325,2367,42,1
26,2368,2413,2368,2413,45,1
27,2414,2462,2414,2462,48,1
28,2463,2511,2463,2511,48,1
29,2512,2559,2512,2559,47,1
30,2560,2605,2560,2605,45,1
31,2606,2651,2606,2651,45,1
32,2652,2698,2652,2698,46,1
33,2699,2747,2699,2747,48,1
34,2748,2795,2748,2795,47,1
35,2796,2844,2796,2844,48,1
36,2845,2891,2845,2891,46,1
37,2892,2934,2892,2934,42,1
38,2935,2974,2935,2974,39,1
39,2975,3012,2975,3012,37,1
40,3013,3050,3013,3050,37,1
41,3051,3091,3051,3091,40,1
42,3092,3134,3092,3134,42,1
43,3135,3184,3135,3184,49,1
44,3185,3240,3185,3240,55,1
45,3241,3299,3241,3299,58,1
46,3300,3353,3300,3353,53,1
47,3354,3405,3354,3405,51,1
48,3406,3461,3406,3461,55,1
49,3462,3508,3462,3508,46,1
50,3509,3549,3509,3549,40,1
51,3550,3592,3550,3592,42,1
52,3593,3643,3593,3643,50,1
53,3644,3695,3644,3695,51,1
54,3696,3742,3696,3742,46,1
55,3743,3791,3743,3791,48,1
56,3792,3840,3792,3840,48,1
57,3841,3889,3841,3889,48,1
58,3890,3935,3890,3935,45,1
59,3936,3982,3936,3982,46,1
60,3983,4028,3983,4028,45,1
61,4029,4072,4029,4072,43,1
62,4073,4116,4073,4116,43,1
63,4117,4156,4117,4156,39,1
64,4157,4195,4157,4195,38,1
65,4196,4231,4196,4231,35,1
66,4232,4267,4232,4267,35,1
67,4268,4305,4268,4305,37,1
68,4306,4343,4306,4343,37,1
69,4344,4377,4344,4377,33,1
70,4378,4409,4378,4409,31,1
71,4410,4440,4410,4440,30,1
72,4441,4471,4441,4471,30,1
73,4472,4506,4472,4506,34,1
74,4507,4541,4507,4541,34,1
75,4542,4576,4542,4576,34,1
76,4577,4611,4577,4611,34,1
77,4612,4647,4612,4647,35,1
78,4648,4681,4648,4681,33,1
79,4682,4719,4682,4719,37,1
80,4720,4758,4720,4758,38,1
81,4759,4788,4759,4788,29,1
82,4789,4814,4789,4814,25,1
83,4815,4839,4815,4839,24,1
84,4840,4860,4840,4860,20,1
85,4861,4880,4861,4880,19,1
86,4881,4901,4881,4901,20,1
87,4902,4924,4902,4924,22,1
88,4925,4945,4925,4945,20,1
89,4946,4965,4946,4965,19,1
90,4966,4987,4966,4987,21,1
91,4988,5011,4988,5011,23,1
92,5012,5036,5012,5036,24,1
93,5037,5063,5037,5063,26,1
94,5064,5096,5064,5096,32,1
95,5097,5130,5097,5130,33,1
96,5131,5164,5131,5164,33,1
97,5165,5195,5165,5195,30,1
98,5196,5227,5196,5227,31,1
99,5228,5258,5228,5258,30,1
100,5259,5290,5259,5290,31,1
101,5291,5324,5291,5324,33,1
102,5325,5356,5325,5356,31,1
103,5357,5383,5357,5383,26,1
104,5384,5408,5384,5408,24,1
105,5409,5431,5409,5431,22,1
106,5432,5452,5432,5452,20,1
107,5453,5472,5453,5472,19,1
108,5473,5490,5473,5490,17,1
