objid,t0,t1,t_raw,t_eff,ra,dec,racent,deccent,aper4,aper4_err,mag_bgsub_cheese,mag_bgsub,mag,distance,response,skybg,bg,bg_cheese,bg_eff_area,bg_sigmaclip,mag_bgsub_sigmaclip
6371091543164457093,864736591.995,864736670.995,80.0,3.0,293.991,62.1871,293.99252178187152,62.18658861247895,-80.1829,-99.0,19.48368864715518,21.004369765454644,18.83332237202286,264.84351373029153,0.67559538956852128,0.000309573,2.5622023697725962,1.3354461026831845,0.00174707109058782,0.60443884778844548,19.080994791158325
6371091543132999428,864695171.995,864695241.995,71.0,67.0,293.608,62.1388,293.60758227418376,62.138758778721289,18.7746,0.142281,19.067254788362231,19.084765414284838,19.049782440749802,288.38042483361721,0.70195200396751023,0.000303268,1.7191604807252414,0.86556360006015642,0.00174707109058782,0.47583643122676517,19.059352902005891
6371091543166553905,864736591.995,864736670.995,80.0,75.0,293.607,62.139,293.60830092721011,62.138981824793952,19.0652,0.15062,19.048219598297724,19.070531201906448,19.02276351103399,288.05913151590619,0.70876962864004522,0.000298659,2.6782263224795249,1.4419225041481281,0.00174707109058782,0.72118959107806591,19.035420982173374
6371091543132999703,864695171.995,864695241.995,71.0,51.0,293.652,62.1559,293.65234987038679,62.155793241340803,21.1269,0.492541,21.205366784200681,21.368608253133836,21.041221641148017,289.60659347242404,0.75953178838108482,0.000303533,1.7162670014614829,0.9250596310107484,0.00174707109058782,0.43370508054522866,21.115102105731491
6371091543166554171,864736591.995,864736670.995,80.0,69.0,293.653,62.1556,293.65274601564664,62.15561624473056,20.089,0.251852,19.938988958071086,19.995674054173129,19.879615284552568,288.71495457087724,0.69329556472803122,0.000297864,2.6360376691653595,1.3837319069407392,0.00174707109058782,0.60470879801734745,19.905163897870306
6372569316856955180,864736704.995,864736781.995,78.0,60.0,293.934,62.1854,293.93449159706023,62.185659098717949,-80.1829,-99.0,21.633140905939452,21.642872941487319,21.131662343088415,315.9788133450387,0.98132577351543659,0.000343111,2.679933374892741,2.6398070577421078,0.00174707109058782,0.87139933889500898,21.273055022788654
6371091543132999783,864695171.995,864695241.995,71.0,58.0,293.928,62.1853,293.92749733669297,62.185274229884932,21.3616,0.481808,21.20342345952767,21.332446853058748,20.95627219271525,271.04538190355606,0.86400679681394332,0.000313176,2.3742117588089831,1.6506866906397115,0.00174707109058782,0.66236423736817163,21.048800879804272
6371091543164456923,864736591.995,864736670.995,80.0,63.0,293.928,62.1852,293.92780833395398,62.185126908017608,-80.1829,-99.0,21.456187658582266,21.755338606941116,21.209677591097531,270.44027511149261,0.71737590578395705,0.00030613,2.754843324428744,1.4164793609549526,0.00174707109058782,0.62458680938139377,21.311551530869778
6372569316858007948,864736704.995,864736781.995,78.0,69.0,293.928,62.1852,293.92837068008458,62.185276237485667,20.8265,0.378196,20.745586202806173,20.748668555089854,20.52545053915134,317.58911871805572,0.97677393796823364,0.000343058,2.6655988232546064,2.6323974354058008,0.00174707109058782,0.88651031008972025,20.594716321930022
6372569316823400747,864695275.995,864695352.995,78.0,64.0,293.927,62.1856,293.92772389710211,62.184912143851882,-80.1829,-99.0,20.556415207363958,20.755796306751606,20.478275795502043,312.04671673203785,0.57776045536052645,0.000349416,3.1341367495696675,0.96489779612523796,0.00174707109058782,0.51629151581929733,20.519385625046418
